movieId,title,genres,imdbId,tmdbId
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0
1,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0
2,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0
3,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0
4,Father of the Bride Part II (1995),Comedy,113041,11862.0
5,Heat (1995),Action|Crime|Thriller,113277,949.0
6,Sabrina (1995),Comedy|Romance,114319,11860.0
7,Tom and Huck (1995),Adventure|Children,112302,45325.0
8,Sudden Death (1995),Action,114576,9091.0
9,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0
10,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0
11,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0
12,Balto (1995),Adventure|Animation|Children,112453,21032.0
13,Nixon (1995),Drama,113987,10858.0
14,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0
15,Casino (1995),Crime|Drama,112641,524.0
16,Sense and Sensibility (1995),Drama|Romance,114388,4584.0
17,Four Rooms (1995),Comedy,113101,5.0
18,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0
20,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0
22,Assassins (1995),Action|Crime|Thriller,112401,9691.0
23,Powder (1995),Drama|Sci-Fi,114168,12665.0
24,Leaving Las Vegas (1995),Drama|Romance,113627,451.0
25,Othello (1995),Drama,114057,16420.0
26,Now and Then (1995),Children|Drama,114011,9263.0
27,Persuasion (1995),Drama|Romance,114117,17015.0
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0
30,Dangerous Minds (1995),Drama,112792,9909.0
